Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
0210,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas",01/04/2022,31/12/9999,Res Camex,272,2021
02101,- Carnes da espécie suína:,01/04/2022,31/12/9999,Res Camex,272,2021
02101100,"-- Pernas, pás e respectivos pedaços, não desossados",01/04/2022,31/12/9999,Res Camex,272,2021
02101200,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços,01/04/2022,31/12/9999,Res Camex,272,2021
02101900,-- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02102000,- Carnes da espécie bovina,01/04/2022,31/12/9999,Res Camex,272,2021
02109,"- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:",01/04/2022,31/12/9999,Res Camex,272,2021
02109100,-- De primatas,01/04/2022,31/12/9999,Res Camex,272,2021
02109200,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",01/04/2022,31/12/9999,Res Camex,272,2021
02109300,-- De répteis (incluindo as serpentes e as tartarugas marinhas),01/04/2022,31/12/9999,Res Camex,272,2021
021099,-- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
0210991,Carnes de aves da posição 0105,01/04/2022,31/12/9999,Res Camex,272,2021
02109911,De galos e de galinhas,01/04/2022,31/12/9999,Res Camex,272,2021
02109919,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02109920,Carnes da espécie ovina,01/04/2022,31/12/9999,Res Camex,272,2021
02109930,Carnes da espécie cavalar,01/04/2022,31/12/9999,Res Camex,272,2021
02109940,Miudezas comestíveis,01/04/2022,31/12/9999,Res Camex,272,2021
02109990,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
03,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",01/04/2022,31/12/9999,Res Camex,272,2021
0301,Peixes vivos,01/04/2022,31/12/9999,Res Camex,272,2021
03011,- Peixes ornamentais:,01/04/2022,31/12/9999,Res Camex,272,2021
030111,-- De água doce,01/04/2022,31/12/9999,Res Camex,272,2021
03011110,Aruanã (<i>Osteoglossum bicirrhosum</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03011190,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03011900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03019,- Outros peixes vivos:,01/04/2022,31/12/9999,Res Camex,272,2021
030191,"-- Trutas (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache</i> e <i>Oncorhynchus chrysogaster</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03019110,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019190,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
030192,-- Enguias (<i>Anguilla</i> spp),01/04/2022,31/12/9999,Res Camex,272,2021
03019210,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019290,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
030193,"-- Carpas (<i>Cyprinus</i> spp<i>, Carassius</i> spp<i>, Ctenopharyngodon idellus, Hypophthalmichthys</i> spp<i>, Cirrhinus</i> spp<i>, Mylopharyngodon piceus, Catla catla, Labeo</i> spp<i>, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama</i> spp)",01/04/2022,31/12/9999,Res Camex,272,2021
03019310,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019390,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
030194,"-- Atuns-azuis (atuns) (<i>Thunnus thynnus, Thunnus orientalis</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03019410,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019490,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
030195,-- Atum-azul do sul (atum) (<i>Thunnus maccoyii</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03019510,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019590,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
030199,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0301991,Para reprodução,01/04/2022,31/12/9999,Res Camex,272,2021
03019911,"Tilápias (<i>Tilapia</i> spp<i>, Oreochromis</i> spp<i>, Sarotherodon</i> spp<i>, Danakilia</i> spp; seus híbridos)",01/04/2022,31/12/9999,Res Camex,272,2021
03019912,"Esturjões (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03019919,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0301999,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03019991,"Tilápias (<i>Tilapia</i> spp<i>, Oreochromis</i> spp<i>, Sarotherodon</i> spp<i>, Danakilia</i> spp; seus híbridos)",01/04/2022,31/12/9999,Res Camex,272,2021
03019992,"Esturjões (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03019999,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0302,"Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 0304",01/04/2022,31/12/9999,Res Camex,272,2021
